date;TRIL;CSGS;BSET;FNHC;ADES;TRIB;OPOF;BLDR;IPAR;SBAC;ULBI;BCML;DOX;SNPS;BKYI
2005-08-08;6.45;16.4156845;9.799442744;8.205386926;8.436009139;6.128524157;17.01972627;18.54;9.969134208;14.17156517;12.95;12.25;26.66610767;17.39;22.32
2005-08-09;6.45;16.42428811;9.931387597;8.185126711;8.481404703;6.107723859;17.07742026;18.99;9.477734829;14.26100702;12.98;12.25;26.71935115;17.25;22.08
2005-08-10;6.45;16.32104481;9.951686805;8.272920975;8.511668413;6.136087901;17.26204102;19.08;9.388864729;14.54920856;12.77;12.25;26.63061202;17.12;21.6
2005-08-11;6.45;16.43289172;10.06840725;8.23915395;8.685684745;6.105832923;17.26204102;18.9;9.754800436;14.53927058;12.94;12.25;26.71935115;17.26;21.6
2005-08-12;6.45;16.45870254;9.850190764;8.26616757;8.625157326;6.003722369;17.14665304;18.47;9.935154464;14.41007678;12.69;12.25;26.64835985;17.29;21.36
2005-08-15;6.45;16.58775667;10.14452928;8.104085853;8.432226175;6.003722369;17.2805031;19.18;9.995272473;14.44485973;13.05;12.25;26.73709897;17.19;20.64
2005-08-16;6.45;16.48451337;9.985620537;8.104085853;8.284690589;5.994267688;17.27934922;19.198;9.723434518;14.18150315;12.97;12.25;26.49750333;16.99;22.08
2005-08-17;6.45;16.7254144;9.97536836;8.131099472;8.190116496;5.994267688;17.16396124;18.91;9.760028089;14.04237138;13.19;12.35;26.54187289;16.98;21.6
2005-08-18;6.45;16.5189278;9.949737917;8.070318828;8.057712765;6.003722369;17.30819621;19.46;9.718206865;13.95292952;13.19;12.3;26.55074681;18.48;20.88
2005-08-19;6.45;16.63937832;9.959990094;7.955510945;7.963138671;6.363000243;17.30819621;19.45;10.01618308;14.08212331;13.15;12.3;26.56849463;18.51;22.08
2005-08-22;6.45;16.63077471;10.03688142;7.982524565;7.535663769;6.43863769;17.16396124;19.36;10.12073614;14.7082163;13.03;12.3;26.24903377;18.63;21.36
2005-08-23;6.45;16.66518914;10.06763795;8.009605719;7.528097841;6.533184499;17.16396124;19.27;10.06323196;14.68834033;13.2;12.3;26.39989029;18.48;21.36
2005-08-24;5.553;17.38789223;9.908729208;7.982524565;7.376779292;6.552093861;17.16396124;19.33;10.0370937;14.74796824;13;12.2;25.73434684;18.62;20.16
2005-08-25;5.553;17.53415357;10.0009988;7.98927797;7.448655603;6.571003223;17.07742026;18.86;10.07891492;14.96660389;12.9;12.15;25.45038163;18.7;20.28
2005-08-26;5.553;17.3534778;9.842090057;7.942004136;7.452438566;6.485911095;17.07742026;18.24;9.838442884;14.56908453;12.94;12.05;25.2196599;18.71;20.64
2005-08-29;5.553;17.3534778;9.883098765;7.833949658;7.263290379;6.381909605;17.01395687;18.88;10.13119145;14.42001477;12.99;11.6;24.89132513;18.84;22.08
2005-08-30;5.553;17.12118038;9.539650831;7.72589518;7.217894815;6.396091626;17.01395687;18.79;9.827987578;14.80759614;12.93;11.6;25.2906512;18.7;21.84
2005-08-31;7.02;17.54275718;9.719063931;7.908237111;6.96065328;6.43863769;17.01395687;20.3;9.676385642;14.9566659;13.24;11.6;26.04493378;19;21.6
2005-09-01;7.02;17.63739687;9.995872714;7.739401989;6.96065328;6.618276627;17.17643668;21.56;9.979589514;15.32437131;12.91;11.6;26.15142073;18.76;21.36
2005-09-02;7.02;17.3534778;9.683181311;7.462512389;6.926606607;6.656095351;17.23446518;22;9.932540637;15.17530155;13.04;11.6;26.08930335;18.77;21.36
2005-09-06;7.02;17.50834275;9.775450905;7.516539628;6.601271725;6.845188969;17.23446518;22.35;10.03186604;15.13554961;13.14;11.75;24.62510775;19.02;20.64
2005-09-07;7.02;17.568568;9.713937843;7.394978341;6.76772213;7.223376205;17.23446518;21.57;10.39780175;15.46350309;13;11.75;24.57186427;18.89;20.16
2005-09-08;7.02;17.41370306;9.719063931;7.550306653;6.987134026;7.582654079;17.23446518;21.04;10.09459788;15.55294494;12.81;11.75;24.56299036;18.91;20.4
2005-09-09;7.02;17.68901852;9.590911717;7.40848515;6.926606607;7.894658548;17.11840818;21.28;10.19915094;15.85108446;13.04;11.5;24.25240342;19.02;19.92
2005-09-12;6.18;17.63739687;9.79595526;7.469265794;7.104405902;8.291755146;17.11840818;20.7;10.25665512;15.46350309;12.92;11.5;24.14591646;18.7;19.2
2005-09-13;7.38;17.60298244;9.708811754;8.380975453;7.036312555;7.979750676;17.11840818;20.53;10.18869563;15.15542558;12.78;11.4;24.47425123;18.57;18.48
2005-09-14;7.29;17.28464893;9.560155185;8.644358243;6.998482918;7.923022591;17.23446518;20.9;10.11550849;14.57902251;12.67;11.4;24.27902515;18.68;19.44
2005-09-15;7.95;17.49973914;9.467885591;8.711892292;6.884994005;7.563744717;17.23446518;21.68;10.18346798;14.83741009;12.73;11.4;24.37663819;18.6;18.96
2005-09-16;8.1;17.86109068;9.432002971;8.691632077;6.839598441;7.034282587;17.33311364;21.83;10.24619982;14.92685195;12.64;11.25;24.48312515;18.62;19.44
2005-09-19;8.1;17.7750546;9.334607288;8.705138887;7.040095519;7.07210131;17.33311364;22.15;10.16255737;14.98647985;12.23;11.25;24.18141211;18.25;19.2
2005-09-20;8.1;17.83527986;9.339733377;8.769701437;7.05144441;7.043737267;17.33311364;21.82;9.958678902;14.4597667;12.03;11.25;23.83532952;18.39;19.68
2005-09-21;8.1;17.53415357;9.324355111;9.015795511;6.998482918;7.005918544;17.18223953;21.46;9.79662166;14.18150315;10.06;11.25;23.44487736;18.46;18.96
